Function,Count,init,term,time
funcB,1,274888220425,274888286610,66185
funcB,2,274889239656,274889388650,148994
funcB,3,274890166615,274890325661,159046
funcB,4,274890492502,274890638146,145644
funcB,5,274891581818,274891731619,149801
funcB,6,274892830745,274892979376,148631
funcB,7,274893304699,274893445785,141086
funcB,8,274893465504,274893601819,136315
funcB,9,274894398221,274894539066,140845
funcB,10,274894712746,274894851865,139119
funcB,11,274895015695,274895160591,144896
funcB,12,274895209953,274895314090,104137
funcB,13,274895320202,274895472374,152172
funcB,14,274895802464,274895940830,138366
funcB,15,274896115784,274896249511,133727
funcB,16,274896255931,274896406187,150256
funcB,17,274896413358,274896573123,159765
funcB,18,274896743592,274896887230,143638
funcB,19,274897367764,274897505173,137409
funcB,20,274898139500,274898288381,148881
funcB,21,274899398795,274899537001,138206
funcB,22,274899551633,274899690271,138638
funcB,23,274900028102,274900169623,141521
funcB,24,274900187033,274900325832,138799
funcB,25,274900798377,274900951792,153415
funcB,26,274901270537,274901420376,149839
funcB,27,274901748586,274901885145,136559
funcB,28,274902524658,274902667128,142470
funcB,29,274902683786,274902824205,140419
funcB,30,274902842879,274902976449,133570
funcB,31,274903152335,274903290756,138421
funcC,1,274888595300,274888595300,0
funcC,2,274888752139,274888752139,0
funcC,3,274888920744,274888920745,1
funcC,4,274889076582,274889076583,1
funcC,5,274889702458,274889702459,1
funcC,6,274890005435,274890005436,1
funcC,7,274891106562,274891106563,1
funcC,8,274892353592,274892353593,1
funcC,9,274892822743,274892822743,0
funcC,10,274893131358,274893131358,0
funcC,11,274894382930,274894382930,0
funcC,12,274894695597,274894695597,0
funcC,13,274895628128,274895628130,2
funcC,14,274896097249,274896097250,1
funcC,15,274896729186,274896729187,1
funcC,16,274897662878,274897662879,1
funcC,17,274897976359,274897976360,1
funcC,18,274898131903,274898131905,2
funcC,19,274898444898,274898444898,0
funcC,20,274899069588,274899069588,0
funcC,21,274899225675,274899225675,0
funcC,22,274899381862,274899381863,1
funcC,23,274899857366,274899857367,1
funcC,24,274901108143,274901108144,1
funcC,25,274901264047,274901264049,2
funcC,26,274901576577,274901576578,1
funcC,27,274902199352,274902199352,0
funcC,28,274902356130,274902356130,0
funcC,29,274902511934,274902511935,1
funcC,30,274903134783,274903134783,0
funcC,31,274903447141,274903447142,1
funcA,1,274888289393,274888447216,157823
funcA,2,274889079516,274889239640,160124
funcA,3,274889399422,274889551949,152527
funcA,4,274889716640,274889853320,136680
funcA,5,274890028379,274890166136,137757
funcA,6,274890346260,274890492489,146229
funcA,7,274890652393,274890804952,152559
funcA,8,274890805006,274890960936,155930
funcA,9,274891117631,274891269292,151661
funcA,10,274891269323,274891437167,167844
funcA,11,274891437207,274891581786,144579
funcA,12,274891750750,274891898927,148177
funcA,13,274891898939,274892051174,152235
funcA,14,274892051185,274892217952,166767
funcA,15,274892372387,274892524062,151675
funcA,16,274892524075,274892713190,189115
funcA,17,274893145760,274893304687,158927
funcA,18,274893608786,274893778596,169810
funcA,19,274893778611,274893929129,150518
funcA,20,274893929142,274894084735,155593
funcA,21,274894084825,274894244382,159557
funcA,22,274894869153,274895015648,146495
funcA,23,274895635583,274895802456,166873
funcA,24,274896905546,274897048533,142987
funcA,25,274897048569,274897208364,159795
funcA,26,274897208375,274897367751,159376
funcA,27,274897711370,274897825691,114321
funcA,28,274898456502,274898611996,155494
funcA,29,274898612007,274898774355,162348
funcA,30,274898774415,274898920017,145602
funcA,31,274899872218,274900028072,155854
funcA,32,274900340444,274900498773,158329
funcA,33,274900498800,274900646174,147374
funcA,34,274900646183,274900798365,152182
funcA,35,274901590795,274901748574,157779
funcA,36,274901896013,274902054938,158925
funcA,37,274903464541,274903618090,153549
funcA,38,274903618118,274903771956,153838
