Function,Count,init,term,time
funcA,1,274888287896,274888447768,159872
funcA,2,274888447803,274888598251,150448
funcA,3,274888923475,274889080511,157036
funcA,4,274890021244,274890216933,195689
funcA,5,274890648393,274890800854,152461
funcA,6,274891280266,274891429733,149467
funcA,7,274891589270,274891739819,150549
funcA,8,274891902462,274892047116,144654
funcA,9,274892214489,274892368958,154469
funcA,10,274892531088,274892677373,146285
funcA,11,274892677529,274892835042,157513
funcA,12,274893301142,274893454048,152906
funcA,13,274894235691,274894394683,158992
funcA,14,274894701779,274894865721,163942
funcA,15,274895019690,274895173043,153353
funcA,16,274895173097,274895323942,150845
funcA,17,274895323958,274895478959,155001
funcA,18,274895478994,274895646589,167595
funcA,19,274895646601,274895791244,144643
funcA,20,274896104333,274896263464,159131
funcA,21,274896421280,274896583346,162066
funcA,22,274897834721,274897990418,155697
funcA,23,274898143512,274898299007,155495
funcA,24,274899079787,274899237013,157226
funcA,25,274899879091,274900013985,134894
funcA,26,274900177224,274900347643,170419
funcA,27,274900639132,274900794808,155676
funcA,28,274901583213,274901745014,161801
funcA,29,274901899522,274902058454,158932
funcA,30,274902210795,274902376673,165878
funcA,31,274902376687,274902513457,136770
funcA,32,274902687455,274902834314,146859
funcA,33,274902990519,274903148799,158280
funcC,1,274888286423,274888286424,1
funcC,2,274889388627,274889388628,1
funcC,3,274889701392,274889701392,0
funcC,4,274889852286,274889852286,0
funcC,5,274890004725,274890004726,1
funcC,6,274890325234,274890325235,1
funcC,7,274890481894,274890481895,1
funcC,8,274890637976,274890637978,2
funcC,9,274890950506,274890950507,1
funcC,10,274891262971,274891262971,0
funcC,11,274891887814,274891887815,1
funcC,12,274892198308,274892198308,0
funcC,13,274892511038,274892511039,1
funcC,14,274893131405,274893131405,0
funcC,15,274893289690,274893289690,0
funcC,16,274893601848,274893601848,0
funcC,17,274893757952,274893757953,1
funcC,18,274893914369,274893914370,1
funcC,19,274894695314,274894695316,2
funcC,20,274895007784,274895007785,1
funcC,21,274895941042,274895941042,0
funcC,22,274896096850,274896096852,2
funcC,23,274896406385,274896406386,1
funcC,24,274896729357,274896729359,2
funcC,25,274897041603,274897041603,0
funcC,26,274897197955,274897197956,1
funcC,27,274897505356,274897505356,0
funcC,28,274897662830,274897662830,0
funcC,29,274897819744,274897819745,1
funcC,30,274898601105,274898601106,1
funcC,31,274899857863,274899857863,0
funcC,32,274900628036,274900628036,0
funcC,33,274901264167,274901264168,1
funcC,34,274901576490,274901576494,4
funcC,35,274902667306,274902667307,1
funcC,36,274903603541,274903603542,1
funcB,1,274888598278,274888752192,153914
funcB,2,274888757178,274888920299,163121
funcB,3,274889080566,274889233158,152592
funcB,4,274889395928,274889545187,149259
funcB,5,274890967917,274891106562,138645
funcB,6,274891429744,274891575205,145461
funcB,7,274892835079,274892979035,143956
funcB,8,274893925111,274894070727,145616
funcB,9,274894088217,274894226820,138603
funcB,10,274894394713,274894539134,144421
funcB,11,274896747196,274896886933,139737
funcB,12,274897215328,274897353109,137781
funcB,13,274897990433,274898132166,141733
funcB,14,274898299021,274898444644,145623
funcB,15,274898619139,274898756938,137799
funcB,16,274898763358,274898913444,150086
funcB,17,274898931399,274899069436,138037
funcB,18,274899237028,274899382001,144973
funcB,19,274899402480,274899536796,134316
funcB,20,274899544121,274899690447,146326
funcB,21,274900014000,274900169576,155576
funcB,22,274900347667,274900480212,132545
funcB,23,274900794824,274900952002,157178
funcB,24,274900964490,274901107978,143488
funcB,25,274901277994,274901420542,142548
funcB,26,274901745029,274901885304,140275
funcB,27,274902058519,274902199360,140841
funcB,28,274902834396,274902976502,142106
funcB,29,274903148813,274903290754,141941
funcB,30,274903305052,274903446763,141711
funcB,31,274903614439,274903759566,145127
