Function,Count,init,term,time
funcB,1,274888220417,274888286305,65888
funcB,2,274888288838,274888442739,153901
funcB,3,274888754775,274888920599,165824
funcB,4,274889236116,274889388786,152670
funcB,5,274890644552,274890794298,149746
funcB,6,274891121137,274891262802,141665
funcB,7,274892054906,274892198301,143395
funcB,8,274892372968,274892510728,137760
funcB,9,274892520014,274892666058,146044
funcB,10,274893138281,274893289858,151577
funcB,11,274893308311,274893445612,137301
funcB,12,274893620121,274893758043,137922
funcB,13,274893933185,274894070282,137097
funcB,14,274894077265,274894226997,149732
funcB,15,274894248094,274894382822,134728
funcB,16,274894390573,274894539408,148835
funcB,17,274894557270,274894695491,138221
funcB,18,274895177292,274895314117,136825
funcB,19,274895327816,274895472171,144355
funcB,20,274895482934,274895628413,145479
funcB,21,274895643138,274895784586,141448
funcB,22,274895958417,274896097175,138758
funcB,23,274896112169,274896249772,137603
funcB,24,274897676682,274897819833,143151
funcB,25,274897830568,274897975982,145414
funcB,26,274897986784,274898132171,145387
funcB,27,274898306163,274898444898,138735
funcB,28,274898460077,274898600862,140785
funcB,29,274898615501,274898757052,141551
funcB,30,274898770905,274898913254,142349
funcB,31,274899083296,274899225502,142206
funcB,32,274899704944,274899857366,152422
funcB,33,274900182738,274900325868,143130
funcB,34,274900802088,274900951957,149869
funcB,35,274900968123,274901107978,139855
funcB,36,274901274496,274901420304,145808
funcB,37,274901751952,274901885080,133128
funcB,38,274902062083,274902199536,137453
funcB,39,274902213973,274902355851,141878
funcB,40,274902369861,274902512440,142579
funcB,41,274903621644,274903759390,137746
funcA,1,274888600754,274888754755,154001
funcA,2,274889080037,274889236091,156054
funcA,3,274889402838,274889559682,156844
funcA,4,274889559730,274889720266,160536
funcA,5,274889720306,274889867530,147224
funcA,6,274889867589,274890016642,149053
funcA,7,274890016676,274890171199,154523
funcA,8,274890521998,274890644517,122519
funcA,9,274891276773,274891425717,148944
funcA,10,274892210950,274892372901,161951
funcA,11,274892716888,274892838921,122033
funcA,12,274892838933,274892986137,147204
funcA,13,274892986170,274893138238,152068
funcA,14,274893458269,274893620046,161777
funcA,15,274894861674,274895026727,165053
funcA,16,274895795283,274895958407,163124
funcA,17,274896267048,274896417587,150539
funcA,18,274896740107,274896897984,157877
funcA,19,274896898017,274897059721,161704
funcA,20,274897363729,274897521446,157717
funcA,21,274899233008,274899394804,161796
funcA,22,274899394832,274899548176,153344
funcA,23,274899867851,274900032291,164440
funcA,24,274900642654,274900802076,159422
funcA,25,274901119011,274901274481,155470
funcA,26,274901427265,274901587266,160001
funcA,27,274901587280,274901751937,164657
funcA,28,274902528366,274902674496,146130
funcA,29,274902674573,274902846555,171982
funcA,30,274902846635,274902986998,140363
funcA,31,274903308669,274903457562,148893
funcC,1,274888595297,274888595298,1
funcC,2,274889076530,274889076531,1
funcC,3,274890325505,274890325505,0
funcC,4,274890481727,274890481728,1
funcC,5,274890950268,274890950271,3
funcC,6,274891106831,274891106832,1
funcC,7,274891575366,274891575366,0
funcC,8,274891731477,274891731478,1
funcC,9,274891887857,274891887858,1
funcC,10,274892039799,274892039800,1
funcC,11,274893916816,274893916816,0
funcC,12,274894851865,274894851866,1
funcC,13,274895160208,274895160208,0
funcC,14,274896572879,274896572880,1
funcC,15,274896729186,274896729187,1
funcC,16,274897197791,274897197791,0
funcC,17,274897352898,274897352898,0
funcC,18,274897662691,274897662691,0
funcC,19,274898288514,274898288515,1
funcC,20,274899069423,274899069426,3
funcC,21,274899690620,274899690620,0
funcC,22,274900169611,274900169612,1
funcC,23,274900480467,274900480468,1
funcC,24,274900628022,274900628022,0
funcC,25,274902043612,274902043614,2
funcC,26,274903134606,274903134606,0
funcC,27,274903290922,274903290923,1
funcC,28,274903603733,274903603734,1
